wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
49,1,7669.61,4.06,49.16,1891,156,6.83,463.15,9.73,6.33,34141.65,10.93,14.22,338
49,1,7586.45,4.64,33.87,1635,224,6.86,385.13,10.41,8.23,34313.95,11.15,12.08,403
49,1,7929.18,4.48,25.33,1769,313,7.08,293.37,10.54,10.58,35375.19,10.97,15.35,509
49,1,8054.71,4.03,19.65,1998,410,7.02,297.71,9.42,6.17,35081.15,10.37,10.67,707
49,1,8774.78,4.51,31.56,1945,278,6.17,353.69,8.5,5.01,30856.97,10.2,9.29,526
49,1,5267.81,3.6,34.89,1464,151,6.13,960.7,9.21,4.79,30630.27,10.43,6.14,279
53,1,41917.3,4.94,27.87,8483,1504,3.89,61.68,10.76,6.55,117812.3,5.71,7.72,13614
53,1,44266.81,5.1,33.61,8676,1317,3.84,64.17,10.52,4.96,116337.33,5.74,5.72,13285
53,1,42804.19,5.38,30.31,7949,1412,3.8,58.41,10.49,4.82,115127.52,5.75,5.41,13408
53,1,33764.94,4.33,24.49,7804,1379,3.89,88.84,11.21,6.99,117865.5,5.48,5.19,9791
53,1,36241.54,4.87,14.73,7444,2461,4.2,153.93,12,6.92,127241.1,5.39,1.05,5587
53,1,39430.67,4.42,18.41,8911,2142,4.55,115.52,11.67,6.75,137973.76,4.98,1.04,5420
53,1,34828.55,4.45,21.51,7823,1619,4.61,143.6,11.35,7.46,139610.74,4.8,0.73,4513
53,1,18034.46,2.87,13.72,6293,1314,4.57,121.46,10.87,7.02,138380.44,4.88,0.72,3836
53,1,20321.84,3.33,18.7,6100,1087,4.44,147.82,11.87,5.01,134554.65,5.11,1.5,4115
91,1,609665.76,3.15,15.6,193566,39089,153.38,24.23,9.65,7.19,1578702.64,0.97,1.54,127316
91,1,657898.44,3.03,18.97,216812,34676,122.95,22.28,9.63,5.44,1265550.02,0.73,1.36,141883
91,1,611120.65,2.67,15.34,228527,39844,123.95,26.48,9.13,7.78,1275809.73,0.57,1.2,124975
91,1,470303.93,1.99,11.89,235886,39556,113.01,15.57,9.85,12.4,1163233.38,0.6,1.04,76882
91,1,358158.34,1.64,8.08,218927,44352,112.2,2.22,10.38,20.91,1154885.28,0.54,0.83,45070
91,1,180663.44,1.06,8.71,170509,20751,113.11,3.82,10.49,21,1164228.64,0.58,0.26,20969
91,1,197432.13,0.83,8.71,239054,22674,119.5,1.47,10.6,22.08,1230015.86,0.52,0.24,23255
91,1,203849.73,0.83,8.93,244151,22834,130.24,0.28,10.61,22.69,1340599.04,0.53,0.18,23368
91,1,214207.22,0.86,9.26,249593,23122,141.16,1.36,10.58,22.22,1452922.89,0.49,0.15,23780
91,1,214016.77,0.84,9.64,255278,22200,151.6,7.44,10.56,21.79,1560428.73,0.47,0.1,23150
91,1,161820.1,0.69,6.14,233628,26340,150.64,696.25,10.6,21.12,1550552.2,0.52,0.07,39353
91,1,563135.84,2.89,26.65,194558,21132,139.22,122.8,14.08,3.21,1432940.99,0.51,0.08,247362
92,1,14379.5,4.39,35.77,3273,402,24.71,314.15,9.19,9.66,123526.12,7.31,14.24,2956
97,1,30552.67,3.82,0.23,8007,130420,74.97,2.8,12.4,7.61,150687.89,7.66,1,140111
97,1,34632.49,4.34,0.2,7980,169500,56.51,2.19,12.48,6.8,113589.64,7.45,1.47,174922
