wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
34,0,107682.83,2.75,0.55,39202,194058,56.9,62.26,15.85,28.47,614470.47,56.81,0.14,568470
34,0,93424.78,2.14,0.47,43699,197817,50.43,55.93,14.59,26.96,544590.68,57,0.13,619547
34,0,167552.56,3.21,0.71,52253,235075,49.23,97.18,13.11,24.64,531633.36,55.21,0.04,787014
37,0,4215,21.62,91.63,195,46,7.9,914.73,12.53,2.32,12246.15,48.62,29.48,69
37,0,4922,24.61,86.35,200,57,7.82,878.21,12.58,2.57,12124.86,49.49,29.27,73
37,0,4429,21.93,85.17,202,52,7.64,1632.82,13.08,4.42,11848.88,48.54,28.2,68
37,0,4150.5,20.35,84.7,204,49,7.42,2088.45,12.9,3.51,11493.52,49.45,28.54,71
37,0,4866,24.33,101.38,200,48,8.75,1397.64,12.95,3.41,13556.7,51.29,30.51,70
38,0,693444.47,5.63,3.57,123074,194333,135.58,3622.72,7.83,4.83,1736640.11,4.36,0.38,207204
38,0,858325.42,5.84,1.47,147004,584369,144.92,301.08,7.42,3.86,1856320.95,4.58,0.28,893476
38,0,674914.29,4.12,0.8,163950,840515,138.05,265.08,7.21,3.31,1768275.75,5.29,0.28,1061133
38,0,707896.36,4,3.52,176923,201137,127.19,2981.38,7.44,4.19,1629149.19,6.04,0.09,212067
38,0,757887.3,4.92,6.96,154095,108887,133.55,2489.1,7.32,4.22,1710627.52,5.14,0.12,119419
40,0,322423.99,2.27,0.36,141864,891322,175.86,1.28,10.71,12.99,1758618.89,10.5,0.37,2547967
40,0,374139.88,2.71,0.48,137927,785372,110.9,1.37,10.63,15.21,1108990.32,1.1,0.02,2924583
40,0,388448.8,2.89,0.53,134563,731962,115.08,0.92,10.73,16.95,1150752.13,1.11,0.02,3157908
40,0,444472.93,3.39,0.81,131055,545930,120.21,1.1,10.53,18.88,1202123,1.12,0.02,3020422
40,0,375580.57,2.82,0.96,133042,393124,135.48,0.92,10.56,18.19,1354775.56,1.01,0.01,2711310
40,0,414337.32,2.45,0.98,169073,423956,142.67,2.32,10.36,16.29,1426676.48,0.94,0.01,2474121
40,0,336709.04,1.99,1.16,169404,289028,145.87,1.7,10.29,15.36,1458702.97,0.93,0.01,1855851
40,0,388071.16,1.99,1.13,194947,344722,150.69,1.95,10.24,14.81,1506869.93,0.87,0.01,2037081
40,0,382293.86,1.88,1.06,202857,361937,155.43,2.05,10.21,14.47,1554331.53,0.79,0.01,2040248
40,0,292892.49,2.41,1.18,121314,248141,141.49,204.7,10.24,14.9,1414921.63,0.8,0.01,2111062
40,0,494611.33,3.34,1.2,148144,413057,144.9,0.8,11.1,13.61,1449029.07,1.06,0.01,4208694
52,0,699682.65,9.82,0.32,71252,2194905,319.9,68.73,14.75,8.74,3198962.98,10.68,0.27,2751631
52,0,712150.28,10.32,0.32,68992,2214947,333.57,1.68,14.39,8.43,3335727.32,9.21,0.22,2830673
52,0,656082.28,9.65,0.32,67964,2057898,338.14,29.78,14.96,8.14,3381405.9,7.38,0.18,2576543
52,0,388570.41,9.24,0.33,42045,1161462,310.38,2.25,14.9,8.63,3103843.01,6.33,0.17,1374810
57,0,237618.26,1.02,8.07,232929,29446,212.95,3.13,9.86,35.31,2129519.22,0.55,0.02,29490
57,0,211523.54,1.28,8.23,164900,25710,253.74,8.1,9.83,34.99,2537401.52,0.62,0.02,25754
57,0,291918.38,1.94,7.95,150416,36715,276.73,5.39,9.8,34.74,2767338.83,0.61,0.02,36793
57,0,356146.69,1.63,6.9,218043,51592,268.62,2.08,9.83,35.05,2686245.92,0.61,0.02,976682
59,0,1021405.11,6.87,6.95,148639,146925,1585.67,0,7.9,29.79,15856697.36,2.59,0,148258
59,0,787509.36,5.79,6.13,136105,128505,1579.64,0,8.11,31.43,15796379.74,2.41,0,128505
59,0,871801.15,5.8,5.58,150294,156198,1585.38,0,8.35,33.83,15853840.37,2.22,0,156198
59,0,1002115.54,5.97,5.61,167751,178485,1602.16,0,8.36,33.99,16021566.49,2.02,0,178566
59,0,1329202.99,5.92,5.09,224685,261214,1499.18,0,8.35,33.31,14991759.47,1.86,0,261214
59,0,1641873.12,6.82,3.36,240665,489112,1525.12,0,8.38,31.15,15251203.98,1.69,0,489112
59,0,1418742.22,5.42,4.2,261859,337639,1550.27,0,8.37,32.24,15502720.43,1.53,0,337639
59,0,800040.06,3.79,7.29,211215,109808,1555.13,0,8.36,34.05,15551349.28,1.38,0,109808
59,0,961250.56,4.33,7.32,222025,131346,1571.43,0,8.34,33.91,15714280.94,1.22,0,134073
59,0,1043081.35,4.87,3.98,214223,261832,1575.42,0,8.36,32.93,15754164.91,1.07,0,261832
59,0,1278893.36,6.76,3.41,189060,375438,1590.83,0,8.36,32.31,15908270.4,0.92,0,375438
59,0,1357132.97,7,3.57,193921,380577,1613.09,0,8.35,32.77,16130942.62,0.78,0,380577
59,0,787715.18,3.63,3.57,216800,220781,1590.91,0,8.31,31.71,15909100.64,0.68,0,220781
59,0,571745.91,3.17,1.77,180197,322553,1538.56,0,8.3,29.26,15385616.91,0.6,0,322553
59,0,682755.03,3.37,2.07,202735,329666,1502.46,0,8.31,29.95,15024591.19,0.51,0,329666
59,0,587093.74,3.19,2.02,184071,290538,1454.23,0,8.34,30.18,14542338.69,0.45,0,290538
59,0,395246.43,3.34,1.56,118261,253973,1389.22,0,8.23,28.13,13892191.91,0.41,0,253973
59,0,272874.71,2.22,0.88,122652,310867,1315.09,0,8.34,25.38,13150918.08,0.4,0,310867
59,0,269121.85,3.15,1.06,85330,253516,1233.72,0,8.29,23.71,12337241.18,0.41,0,253516
60,0,929818.1,10.09,95.33,92180,9754,334.36,12.3,8.88,1.74,2006188.66,0.89,7.84,327287
60,0,896003.55,9.93,95.69,90232,9364,322.48,13.5,8.53,1.66,1934883.73,0.94,7.77,323712
60,0,923078.29,10.58,92.64,87211,9964,333.68,13.66,8.46,1.91,2002066.81,1.02,7.45,307561
60,0,970980.62,10.95,101.94,88658,9525,332.87,13.2,8.76,1.92,1997198.94,1.1,6.05,307017
60,0,986606.19,11.37,105.15,86810,9383,330.07,13.68,8.76,2.26,1980395.4,1.02,5.79,317416
60,0,957680.79,11.19,109.16,85583,8773,336.27,14.08,8.47,1.69,2017617.36,1.04,5.54,283940
60,0,963695,10.79,115.84,89327,8319,311.88,13.43,7.82,1.25,1871296.47,1.04,5.56,260945
60,0,999000.45,11.3,116.52,88428,8574,312.74,12.69,8.28,1.44,1876463.8,1.26,5.14,277920
60,0,901502.12,10.63,102.15,84777,8825,297.65,14,8.27,1.26,1785906.46,1.13,5.09,278138
60,0,892992.21,10.81,107.11,82627,8337,282.77,13.06,8.48,1.34,1696624.44,1.14,4.41,282702
60,0,857372.91,10.33,112.02,82994,7654,266.86,11.31,11.47,0.96,1601174.87,1.24,4.69,306126
60,0,925230.84,11.56,140.17,80059,6601,259.63,13.9,13.49,0.89,1557752.78,1.19,4.82,330744
60,0,730274.56,9.82,124.47,74365,5867,245.48,7.3,10.12,1.01,1472867.59,1.25,3.61,185454
60,0,629242.7,9.14,122.02,68847,5157,213.89,10,7.92,1.14,1283314.7,1.43,3.06,136195
60,0,516975.58,8.4,122.86,61535,4208,193.71,9.8,7.72,1.05,1162283.1,1.49,3.05,118541
60,0,444148.38,7.65,116.94,58052,3798,171.97,12.4,7.41,1.01,1031827.75,1.52,2.93,101675
60,0,349309.22,6.91,96.9,50569,3605,137.82,13,6.43,1.14,826934.49,1.57,2.84,81519
60,0,234666.66,5.76,88.62,40736,2648,115.26,23,5.54,1.88,691571.37,1.58,3.14,58245
60,0,170419.76,4.84,36.72,35178,4641,90.77,28.9,5.84,2.93,544646.06,1.67,3.51,46831
84,0,99706.04,3.35,6.23,29744,15995,188.15,2.43,10.96,33.41,553538.88,3.96,0.03,25283
84,0,104680.8,3.64,6.15,28724,17026,182.38,3.67,10.95,31.27,536564.78,5.5,0.04,30145
84,0,65524.8,3.11,4.84,21039,13527,172.07,6,10.95,30.14,506215.72,6.11,0.04,21543
84,0,54431.9,2.93,4.54,18560,11979,155.9,4.9,10.94,29.94,458660.34,6.31,0.04,16597
84,0,77576.04,4.4,4.46,17621,17398,143.62,6,11.05,30.85,422515.88,6.56,0.04,21757
84,0,85925.95,4.19,4.19,20486,20527,131.94,4.5,11.07,30.57,388179.3,6.99,0.05,28032
84,0,84500.77,5.74,5.21,14719,16227,128.89,4.1,11.04,28.1,379204.22,7.28,0.05,22041
84,0,61752.06,4.38,3.82,14108,16166,120,5.7,10.96,27.93,353044.95,7.11,0.05,19872
84,0,36842.86,4.88,3.39,7553,10882,118.87,3.9,10.96,25.12,349720.74,7.09,0.05,13985
84,0,68747.14,3.12,4.24,22048,16230,121.6,2.1,10.93,26.97,357741.2,6.66,0.06,28410
85,0,393026.79,1.47,6.13,266588,64083,1272.06,1.57,11.48,29.75,3816190.75,0.51,0.01,64094
93,0,56689.31,1.89,8.22,30019,6900,59.71,6.33,9.8,9.29,321053.81,3.54,0.25,7726
93,0,68705.74,1.98,8.21,34623,8368,63.84,7.25,9.8,10.4,343258.03,3.21,0.25,8676
93,0,62369.83,2.11,8.08,29607,7720,65.48,7.67,9.8,14.95,352063.4,2.91,0.21,8242
93,0,67681.93,1.71,7.44,39558,9096,67.21,6.49,9.8,14.99,361374.78,2.54,0.19,9606
93,0,69491.28,1.7,7.58,40818,9167,65.89,17.77,9.8,19.89,354299.07,2.23,0.22,9879
93,0,9062.64,0.36,6.98,25380,1298,59.3,7.18,10.41,15.29,318834.23,2.18,0.24,1740
93,0,45012.06,1.3,3.44,34632,13077,58.01,11.2,8.98,7.49,311902.1,2.2,0.23,146051
