wdzjPlatId,platName,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,netInflowOfThirty,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
34,麦子金服财富,0,167552.56,3.21,0.71,52253,235075,49.23,97.18,-763.84,13.11,24.64,531633.36,55.21,0.04,787014
37,瑞银创投,0,4866,24.33,101.38,200,48,8.75,1397.64,400,12.95,3.41,13556.7,51.29,30.51,70
38,微贷网,0,757887.3,4.92,6.96,154095,108887,133.55,2489.1,-11442.33,7.32,4.22,1710627.52,5.14,0.12,119419
40,你我贷,0,494611.33,3.34,1.2,148144,413057,144.9,0.8,-2028.74,11.1,13.61,1449029.07,1.06,0.01,4208694
49,汇通易贷,1,5267.81,3.6,34.89,1464,151,6.13,960.7,206.19,9.21,4.79,30630.27,10.43,6.14,279
52,拍拍贷,0,388570.41,9.24,0.33,42045,1161462,310.38,2.25,-2668.45,14.9,8.63,3103843.01,6.33,0.17,1374810
53,365易贷,1,20321.84,3.33,18.7,6100,1087,4.44,147.82,-731.33,11.87,5.01,134554.65,5.11,1.5,4115
57,人人贷,0,356146.69,1.63,6.9,218043,51592,268.62,2.08,-2204.81,9.83,35.05,2686245.92,0.61,0.02,976682
59,陆金服,0,269121.85,3.15,1.06,85330,253516,1233.72,0,-9400.63,8.29,23.71,12337241.18,0.41,0,253516
60,红岭创投,0,170419.76,4.84,36.72,35178,4641,90.77,28.9,-3868.4,5.84,2.93,544646.06,1.67,3.51,46831
84,捞财宝,0,68747.14,3.12,4.24,22048,16230,121.6,2.1,-235.12,10.93,26.97,357741.2,6.66,0.06,28410
85,宜人贷,0,393026.79,1.47,6.13,266588,64083,1272.06,1.57,13399.86,11.48,29.75,3816190.75,0.51,0.01,64094
91,团贷网,1,563135.84,2.89,26.65,194558,21132,139.22,122.8,-2596.02,14.08,3.21,1432940.99,0.51,0.08,247362
92,安心贷,1,14379.5,4.39,35.77,3273,402,24.71,314.15,801.31,9.19,9.66,123526.12,7.31,14.24,2956
93,人人聚财,0,45743.78,1.72,5.22,26598,8755,51.98,0,-200.86,10.52,16.4,279508.67,2.47,0.19,2232948
95,新新贷,0,26500.29,2.99,15.5,8877,1710,25.08,7.62,-512.45,10.54,10.73,125415.83,11.55,6.53,2129
96,投哪网,0,145028.43,2.8,7.03,51824,20617,78.89,0,6844.83,9.18,12.39,788908.01,17.82,0.09,20831
97,一起好,1,13767.17,2.32,0.63,5937,22004,49.35,4.95,-45.26,12.7,13.93,99192.01,7.46,1.18,23386
102,三信贷,1,11751.2,7.52,46.63,1562,252,5.54,305.74,334.75,11.55,4.74,27720,9.53,3.61,256
116,开鑫贷,0,3383.95,7.64,3383.95,443,1,25.11,229.55,-199.52,6.83,9.36,352144.23,12.75,96.14,442
117,合拍在线,1,14420.95,3.58,47.91,4028,301,11.88,364.8,294.03,10.72,6.44,118772.1,7.59,40.49,758
118,合力贷,1,3200,3.42,91.43,937,35,4.84,2274.04,-17.14,12.37,9,24206.73,13.95,8.24,57
120,钱贷网,1,4732.88,4.53,19.64,1044,241,2,24.61,0,10.95,3.87,9997.26,15.11,22.89,252
125,融信网,0,29.2,0.66,9.73,44,3,0.17,5824.4,0,8,2,1670.46,53.24,35.92,5
127,易通贷,1,89933.38,3.09,249.81,29106,360,25.79,131.38,164.29,12.41,4.88,386820.84,2.25,2.83,4666
128,信融财富,0,44459.74,4.1,20.35,10836,2185,35.36,35.42,-381.29,12.54,8.36,244159.73,12.45,8.01,5139
129,点融网,0,49763.11,3.55,0.87,8615,56901,29.22,0.2,-1046.63,10,14.44,876561.05,93.47,0.57,378080
142,有利网,0,263465.26,2.45,1.18,107423,222846,294.22,0,-1552.22,10.51,27.22,1471105.65,0.67,0.07,3819918
144,翼龙贷,0,193232.64,4.68,5.03,41268,38450,136.66,76.9,-6204.49,8.24,8,1366557.99,2.55,0.1,10121
154,宜聚网,1,42479.12,4.14,12.72,10269,3340,26.9,112.18,3540.04,11.86,5.77,134483.67,4.53,0.25,3340
165,广信贷,0,17361.24,0.71,3.86,24617,4498,31.45,335.7,-50.63,14.52,31.56,314548.22,2.55,0.05,78079
169,爱投资,0,126001.92,2.9,34.38,43492,3665,120.82,117.38,185.04,10.61,10.92,1208189.41,1.36,0.73,20552
171,雪山贷,1,11798,8.51,97.5,1386,121,10.13,1009.55,-2.52,12.41,6.12,60779.88,14.27,1.65,200
173,合盘贷,1,17264,3.1,479.56,5574,36,3.07,1044.82,650,10.2,5.64,61359.34,3.61,38.2,210
175,招商贷,1,38600.93,5.6,56.19,6890,687,16.04,329.03,447.55,10.18,4.94,178265.9,5.5,12.02,687
184,融金所,0,64465.37,2.76,10.84,23343,5947,68.04,333.57,1724.17,10.2,9.11,425232.96,2.84,9.37,5947
195,惠众金融,1,1875.46,2.77,72.13,678,26,1.22,76.23,70,15.32,9.81,6118.09,15.64,16.35,58
201,金e柴神,1,4836.96,10.4,210.3,465,23,8.23,191.2,346.32,11.92,3.15,16451.51,22.22,57.66,47
211,温商贷,1,213041.52,5.3,84.07,40197,2534,66.64,251.82,2090.05,10.63,4.92,666377.81,2.72,3.17,2931
216,钱爸爸,1,92187.15,12.9,295.47,7144,312,21.3,22.53,1057.45,8.42,1.03,106504.94,5.36,15.05,39931
217,宝点网,1,6034.7,2.49,9.01,2426,670,6.78,1230.38,-5,11.9,7.27,33916.75,7.27,13.34,232
220,广富宝,1,2479.78,3.11,9.25,798,268,2.96,67.47,-11.82,12.89,4.72,14844.14,33.43,3.52,270
223,小牛在线,0,93500.86,5.09,1.23,18385,76025,45.26,13.7,-1442.27,8.65,13.4,466132.31,1.42,0.69,168670
235,和信贷,0,135301.6,4.8,124.7,28211,1085,64.96,328.05,2612.95,10.67,8.88,683838.98,3.02,1.9,1086
236,新联在线,1,31771.9,4.28,50.84,7423,625,13.02,453.93,193.1,11.39,4.74,91150.45,7.81,1.45,625
245,诚汇通,1,13251.9,2.84,38.52,4665,344,10.03,662.28,224.74,13.57,12.13,100284.69,7.97,3.57,967
246,玖融网,1,8430.71,2.56,11.35,3296,743,26.64,203,193.92,8.94,5.3,66598.55,15.95,1.51,822
250,皖都金融,0,611.01,9.7,7.45,63,82,0.33,16.42,0,12.36,4.75,1142.41,79.75,17.46,84
264,可信贷,1,2008.41,0.74,3.5,2729,574,1.01,227.44,67.16,10.83,4.96,5033.1,48.05,4.2,574
268,积木盒子,0,246144.06,3.61,0.24,68102,1044115,35.12,6.23,-16406.68,9.08,16.13,702361.79,2.23,0.36,1059675
274,众金在线,0,3270,3.3,93.43,990,35,1.64,2042.7,40,10.15,5.6,16439.78,16.42,6.08,91
278,信和贷,0,2540.16,4.75,23.09,535,110,4.34,1031.18,13.24,11.44,6.42,21679.83,15.97,4.61,161
307,信用宝,0,0,0,0,0,0,23.89,0,-166.22,0,0,164236.22,3.33,0.1,0
310,民民贷,1,4878.17,8.01,13.33,609,366,2.35,208.38,154,13.96,2.14,11741.75,25.48,9.67,417
324,互贷网,0,20.03,0.1,5.01,200,4,0.65,47.1,-3.92,10,0.59,3908.11,10.58,26.98,4
333,资本在线,1,8335,7.64,117.39,1091,71,6.05,46.9,90.02,13.05,3.78,30240.04,10.65,28.67,472
336,丁丁金服,0,4535.67,2.14,7.67,2119,591,6.35,170.56,129.77,12.49,10.99,31726.38,4.27,3.16,634
339,合时代,1,24068.1,3.49,96.66,6894,249,12.5,803.59,690.77,10.8,8.09,250070.57,3.43,14.79,249
341,礼德财富,1,28815.9,2.28,30.33,12645,950,10.58,106.91,-484,10.32,2.93,105815.94,4.46,2.16,952
343,地标金融,0,12588,6.44,968.31,1955,13,3.85,550.1,100,10.28,1.08,38457.91,12.59,85.55,134
346,爱投金融,0,16430.53,3.87,14.09,4250,1166,10.27,44.82,87.34,8.5,4.79,51335.06,15.54,2.02,3200
361,创融在线,0,408.5,10.21,13.18,40,31,1.83,331.98,20,13.28,4.06,1827.02,49.15,42.9,38
365,向上金服,0,78065.13,1.88,3.47,41518,22479,33.99,0,-260.23,11.52,20.67,339942.79,1.31,0.29,1494774
368,沃时贷,1,6784.5,2.22,9.45,3050,718,8.76,309.22,-11.45,12.65,6.39,32858.55,8.63,2.66,813
371,易融恒信,1,3058.92,1.63,13.97,1882,219,69.35,56.93,-31.51,14.27,18.92,69345.48,5.67,1.4,248
373,真鑫贷,0,612.5,3.65,29.17,168,21,2.04,443.59,-68.5,12.96,3.03,2044.5,58.64,85.54,41
387,迷你贷,1,34209.7,8.04,41.62,4253,822,29.54,3.48,381.93,10.51,1.73,59075.45,23.37,9.84,1711
396,花果金融,1,5953.42,4.27,6.23,1395,956,6.66,667.73,-90.73,9.47,7.62,33322.12,12.9,18.11,321
398,粤商贷,0,4181.05,3.67,57.27,1140,73,3.54,1262.72,-0.57,10.99,4.58,17694.18,16.8,5.65,151
403,乾贷网,0,33087.56,4.75,5.2,6961,6368,194.34,0,0,12.56,29.89,194336.77,7.78,2,26402
405,利好贷,0,1629.8,3.65,29.63,447,55,2.37,205.58,-7,13.32,5.39,7098.78,16.86,14.09,120
417,后河财富,0,7922.8,9.09,6.91,872,1146,9.59,61.33,89.92,11.97,10.78,49673.55,45.01,1.93,1148
418,融通资产,0,2078.2,5.25,35.83,396,58,5.33,129.4,-90,9.13,5.4,10657.9,14.53,9.38,102
424,赣商贷,0,1305,12.67,87,103,15,1.76,294.28,-5,16.93,3.93,3520.09,47.64,30.68,130
427,鼎信贷,1,545.3,3.12,1.42,175,384,0.89,98.72,-13.74,11.63,5.76,8907.74,15.16,11.23,384
430,财富星球,1,13783.31,2.25,42.28,6132,326,7.62,236.72,268.77,8.84,6.41,76172.37,6.04,28.81,1135
435,立业贷,1,1191.56,1.79,0.23,666,5253,10.04,25.2,-65.67,10.56,3,22311.47,12.51,1.65,5275
440,金银猫,1,65846.59,5.11,126.87,12893,519,76.47,566.99,-1406.24,8,5.27,229420.54,2.44,23.28,888
