wdzjPlatId,platName,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,netInflowOfThirty,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
34,麦子金服财富,0,107682.83,2.75,0.55,39202,194058,56.9,62.26,-739.59,15.85,28.47,614470.47,56.81,0.14,568470
34,麦子金服财富,0,93424.78,2.14,0.47,43699,197817,50.43,55.93,651.62,14.59,26.96,544590.68,57,0.13,619547
37,瑞银创投,0,4215,21.62,91.63,195,46,7.9,914.73,84.21,12.53,2.32,12246.15,48.62,29.48,69
37,瑞银创投,0,4922,24.61,86.35,200,57,7.82,878.21,103.22,12.58,2.57,12124.86,49.49,29.27,73
37,瑞银创投,0,4429,21.93,85.17,202,52,7.64,1632.82,-27.3,13.08,4.42,11848.88,48.54,28.2,68
37,瑞银创投,0,4150.5,20.35,84.7,204,49,7.42,2088.45,0,12.9,3.51,11493.52,49.45,28.54,71
38,微贷网,0,693444.47,5.63,3.57,123074,194333,135.58,3622.72,12735.09,7.83,4.83,1736640.11,4.36,0.38,207204
38,微贷网,0,858325.42,5.84,1.47,147004,584369,144.92,301.08,15908.78,7.42,3.86,1856320.95,4.58,0.28,893476
38,微贷网,0,674914.29,4.12,0.8,163950,840515,138.05,265.08,12989.1,7.21,3.31,1768275.75,5.29,0.28,1061133
38,微贷网,0,707896.36,4,3.52,176923,201137,127.19,2981.38,4597,7.44,4.19,1629149.19,6.04,0.09,212067
40,你我贷,0,322423.99,2.27,0.36,141864,891322,175.86,1.28,6522.75,10.71,12.99,1758618.89,10.5,0.37,2547967
40,你我贷,0,374139.88,2.71,0.48,137927,785372,110.9,1.37,8125.22,10.63,15.21,1108990.32,1.1,0.02,2924583
40,你我贷,0,388448.8,2.89,0.53,134563,731962,115.08,0.92,-6618.77,10.73,16.95,1150752.13,1.11,0.02,3157908
40,你我贷,0,444472.93,3.39,0.81,131055,545930,120.21,1.1,3084.5,10.53,18.88,1202123,1.12,0.02,3020422
40,你我贷,0,375580.57,2.82,0.96,133042,393124,135.48,0.92,4292.52,10.56,18.19,1354775.56,1.01,0.01,2711310
40,你我贷,0,414337.32,2.45,0.98,169073,423956,142.67,2.32,183.38,10.36,16.29,1426676.48,0.94,0.01,2474121
40,你我贷,0,336709.04,1.99,1.16,169404,289028,145.87,1.7,-494.95,10.29,15.36,1458702.97,0.93,0.01,1855851
40,你我贷,0,388071.16,1.99,1.13,194947,344722,150.69,1.95,4945.38,10.24,14.81,1506869.93,0.87,0.01,2037081
40,你我贷,0,382293.86,1.88,1.06,202857,361937,155.43,2.05,1144.65,10.21,14.47,1554331.53,0.79,0.01,2040248
40,你我贷,0,292892.49,2.41,1.18,121314,248141,141.49,204.7,695.23,10.24,14.9,1414921.63,0.8,0.01,2111062
49,汇通易贷,1,7669.61,4.06,49.16,1891,156,6.83,463.15,-56.78,9.73,6.33,34141.65,10.93,14.22,338
49,汇通易贷,1,7586.45,4.64,33.87,1635,224,6.86,385.13,241.03,10.41,8.23,34313.95,11.15,12.08,403
49,汇通易贷,1,7929.18,4.48,25.33,1769,313,7.08,293.37,134.11,10.54,10.58,35375.19,10.97,15.35,509
49,汇通易贷,1,8054.71,4.03,19.65,1998,410,7.02,297.71,165.39,9.42,6.17,35081.15,10.37,10.67,707
49,汇通易贷,1,8774.78,4.51,31.56,1945,278,6.17,353.69,-105.22,8.5,5.01,30856.97,10.2,9.29,526
52,拍拍贷,0,699682.65,9.82,0.32,71252,2194905,319.9,68.73,15598.88,14.75,8.74,3198962.98,10.68,0.27,2751631
52,拍拍贷,0,712150.28,10.32,0.32,68992,2214947,333.57,1.68,11853.83,14.39,8.43,3335727.32,9.21,0.22,2830673
52,拍拍贷,0,656082.28,9.65,0.32,67964,2057898,338.14,29.78,-5790.73,14.96,8.14,3381405.9,7.38,0.18,2576543
53,365易贷,1,41917.3,4.94,27.87,8483,1504,3.89,61.68,1211.3,10.76,6.55,117812.3,5.71,7.72,13614
53,365易贷,1,44266.81,5.1,33.61,8676,1317,3.84,64.17,474.12,10.52,4.96,116337.33,5.74,5.72,13285
53,365易贷,1,42804.19,5.38,30.31,7949,1412,3.8,58.41,526.36,10.49,4.82,115127.52,5.75,5.41,13408
53,365易贷,1,33764.94,4.33,24.49,7804,1379,3.89,88.84,533.43,11.21,6.99,117865.5,5.48,5.19,9791
53,365易贷,1,36241.54,4.87,14.73,7444,2461,4.2,153.93,1856.65,12,6.92,127241.1,5.39,1.05,5587
53,365易贷,1,39430.67,4.42,18.41,8911,2142,4.55,115.52,304.23,11.67,6.75,137973.76,4.98,1.04,5420
53,365易贷,1,34828.55,4.45,21.51,7823,1619,4.61,143.6,-855.07,11.35,7.46,139610.74,4.8,0.73,4513
53,365易贷,1,18034.46,2.87,13.72,6293,1314,4.57,121.46,189.83,10.87,7.02,138380.44,4.88,0.72,3836
57,人人贷,0,237618.26,1.02,8.07,232929,29446,212.95,3.13,9724.02,9.86,35.31,2129519.22,0.55,0.02,29490
57,人人贷,0,211523.54,1.28,8.23,164900,25710,253.74,8.1,10022.93,9.83,34.99,2537401.52,0.62,0.02,25754
57,人人贷,0,291918.38,1.94,7.95,150416,36715,276.73,5.39,11498.46,9.8,34.74,2767338.83,0.61,0.02,36793
59,陆金服,0,1021405.11,6.87,6.95,148639,146925,1585.67,0,20212.88,7.9,29.79,15856697.36,2.59,0,148258
59,陆金服,0,787509.36,5.79,6.13,136105,128505,1579.64,0,6384.88,8.11,31.43,15796379.74,2.41,0,128505
59,陆金服,0,871801.15,5.8,5.58,150294,156198,1585.38,0,-5138.69,8.35,33.83,15853840.37,2.22,0,156198
59,陆金服,0,1002115.54,5.97,5.61,167751,178485,1602.16,0,29809.22,8.36,33.99,16021566.49,2.02,0,178566
59,陆金服,0,1329202.99,5.92,5.09,224685,261214,1499.18,0,23129.47,8.35,33.31,14991759.47,1.86,0,261214
59,陆金服,0,1641873.12,6.82,3.36,240665,489112,1525.12,0,20406.6,8.38,31.15,15251203.98,1.69,0,489112
59,陆金服,0,1418742.22,5.42,4.2,261859,337639,1550.27,0,4890.97,8.37,32.24,15502720.43,1.53,0,337639
59,陆金服,0,800040.06,3.79,7.29,211215,109808,1555.13,0,-9058.31,8.36,34.05,15551349.28,1.38,0,109808
59,陆金服,0,961250.56,4.33,7.32,222025,131346,1571.43,0,1842.15,8.34,33.91,15714280.94,1.22,0,134073
59,陆金服,0,1043081.35,4.87,3.98,214223,261832,1575.42,0,212.03,8.36,32.93,15754164.91,1.07,0,261832
59,陆金服,0,1278893.36,6.76,3.41,189060,375438,1590.83,0,32238.86,8.36,32.31,15908270.4,0.92,0,375438
59,陆金服,0,1357132.97,7,3.57,193921,380577,1613.09,0,16327.96,8.35,32.77,16130942.62,0.78,0,380577
59,陆金服,0,787715.18,3.63,3.57,216800,220781,1590.91,0,-7995.3,8.31,31.71,15909100.64,0.68,0,220781
59,陆金服,0,571745.91,3.17,1.77,180197,322553,1538.56,0,-2.97,8.3,29.26,15385616.91,0.6,0,322553
59,陆金服,0,682755.03,3.37,2.07,202735,329666,1502.46,0,-10059.68,8.31,29.95,15024591.19,0.51,0,329666
59,陆金服,0,587093.74,3.19,2.02,184071,290538,1454.23,0,-6503.46,8.34,30.18,14542338.69,0.45,0,290538
59,陆金服,0,395246.43,3.34,1.56,118261,253973,1389.22,0,-9028.64,8.23,28.13,13892191.91,0.41,0,253973
