wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
1436,1,3896.17,3.33,2.73,1170,1427,19.11,129.81,12.21,4.04,19105.78,17.16,31.25,1510
220,1,5291.32,4.72,14.22,1122,372,5.73,97.18,13.25,4.44,14378.17,29.41,5.54,1474
2762,1,41738.53,4.31,22.19,9692,1881,8.71,109.94,9.8,4.27,87112.59,6.54,5.16,6648
3841,1,49190.35,7.01,1.91,7017,25765,36.22,29.2,8.26,7.94,362237.11,2.8,0.16,3915
942,1,287124.45,8.45,42.38,33989,6775,51.13,8.23,10.11,7.67,511343.53,5.53,0.24,231892
2674,1,30509.5,4.29,18.94,7119,1611,10.44,127.43,12.18,2.82,104361.43,4.01,1.78,3222
3402,1,6786.04,3.91,0.14,1735,50082,1.81,413.85,10.67,1.25,9063.84,10.88,35.37,254
4412,1,6245,2.16,67.15,2891,93,5.31,663.41,11.95,7.51,26527.98,5.29,4.02,96
4318,1,5035.8,10.6,218.95,475,23,4.8,630.76,8.14,2.07,11996.84,33.76,59.84,182
396,1,5953.42,4.27,6.23,1395,956,6.66,667.73,9.47,7.62,33322.12,12.9,18.11,321
3364,1,4915.37,6.18,43.12,795,114,0.81,295.88,10,0.98,5045.05,23.67,27.26,307
575,1,3097.8,3.23,24.59,958,126,2.47,667.22,12.38,3.12,12326.19,18.86,8.11,152
2491,1,5470.31,1.59,23.08,3444,237,4.91,350.48,11.61,2.87,14724.3,14.72,10.32,408
511,1,7738.61,5.64,17.51,1372,442,9.73,472.75,14.37,4.79,29192.01,11.28,3.45,608
246,1,17532.17,3.56,10.9,4930,1609,29.47,140.65,11.41,8.62,73672.41,14.14,1.67,1770
4390,1,44623.75,4.68,4056.7,9536,11,44.66,2303.93,8.8,6.37,223282.14,2.93,98.29,393
905,1,6892.96,4,77.45,1724,89,3.9,312.55,16.8,2.14,11713.53,10.8,84.73,554
3416,1,42536.43,2.04,8.74,20869,4869,10.08,173.78,11.39,3.9,100799.34,2.98,0.9,5096
3364,1,7735.94,10.82,53.35,715,145,1.24,224.92,10,1.12,7735.92,46.08,22.25,524
3955,1,4976.5,5.22,26.05,954,191,2.09,528.82,14.97,3.46,21961.6,19.85,37.07,222
4367,1,4787.48,1.96,20.03,2441,239,0.94,380.52,11.02,3.33,9443.49,22.67,6.41,350
4367,1,5303.88,1.92,18.88,2764,281,1.25,377.71,10.2,3.26,12474.82,23.09,4.64,456
102,1,14689.3,8.99,18.76,1634,783,6.4,28.8,10.39,3.5,31987.22,12.1,5.89,1001
2762,1,29647.7,4.07,6.72,7290,4409,9.42,166.21,9,3.87,94238.7,6.52,4.05,6097
171,1,9050,2.61,90.5,3469,100,10,1310.06,10.52,6.35,59994.85,11.66,2.23,118
430,1,10099.43,2.5,29.36,4032,344,6.77,234.4,8.38,6.39,67738.76,7.81,29.61,793
371,1,8857.81,3.17,12.17,2791,728,70.15,142.12,16.87,19.97,70146.87,6.19,1.6,801
435,1,1063.94,1.76,0.51,603,2072,11.29,119.31,10.65,3.9,25088.24,12.11,1.78,2073
574,1,26643,4.95,619.6,5382,43,10.56,135.83,11.17,1.67,52789.49,6.7,39.05,1208
900,1,21545.02,2.73,53.59,7883,402,10.85,475.44,13.09,12.68,216927.75,2.92,25.25,403
475,1,5203.92,4.52,44.1,1152,118,0,323.49,13.52,5.41,18073.73,11.47,17.18,386
3051,1,19256.23,5.83,11,3302,1750,6.68,87.99,10.9,6.6,40067.29,11.05,1.56,1966
216,1,77063.04,10.66,277.21,7231,278,20.59,113.1,8.57,1.29,102940.9,4.86,8.28,2913
4235,1,17000,2.7,100,6298,170,7.21,3517.27,13.04,7.89,93730.15,5.74,3.2,170
1485,1,32674.2,10.17,2513.4,3214,13,14.22,572.47,9.89,2.15,71120.68,10.08,99.83,700
2762,1,40337.62,4.69,9.72,8609,4152,9.79,126.98,9.44,4.92,97890.85,6.07,4.34,6651
154,1,41183.95,3.65,14.02,11289,2937,24.77,117.03,11.64,4.13,123865.12,4.65,0.45,2937
467,1,52783.54,6.32,16.81,8354,3140,21.5,209.82,10,8.34,236497.34,6.48,41.14,3432
662,1,872.33,4.02,32.31,217,27,1.14,213.61,12.43,8.29,5676.44,19.67,55.97,151
467,1,31569.61,4.66,14.66,6774,2154,21.07,429.07,9.58,6.7,231731.27,6.62,36.96,2350
